ID,YearsExperience,Salary
0,1.2000000000000002,39344
1,1.4,46206
2,1.6,37732
3,2.1,43526
4,2.3000000000000003,39892
5,3,56643
6,3.1,60151
7,3.3000000000000003,54446
8,3.3000000000000003,64446
9,3.8,57190
10,4,63219
11,4.1,55795
12,4.1,56958
13,4.199999999999999,57082
14,4.6,61112
15,5,67939
16,5.199999999999999,66030
17,5.4,83089
18,6,81364
19,6.1,93941
20,6.9,91739
21,7.199999999999999,98274
22,8,101303
23,8.299999999999999,113813
24,8.799999999999999,109432
25,9.1,105583
26,9.6,116970
27,9.7,112636
28,10.4,122392
29,10.6,121873
30,5.1,69829.5
31,11.5,136437.9
32,9.1,112679.3
33,7.6,98524.7
34,2.7,50970.7
35,2.7,50301.8
36,1.6,53691.8
37,10.5,130959.2
38,7.6,100825.9
39,8.8,108527.2
40,1.2,42070
41,11.7,138016.5
42,10.2,120976.7
43,3.3,54673.2
44,3,52746.3
45,3,35633.8
46,4.3,67101.7
47,6.8,86114.8
48,5.8,88104.9
49,4.2,64679.5
50,7.7,91251.3
51,2.5,48519.6
52,4.2,58816.5
53,5,75028.6
54,6,83333.4
55,9.6,121273.1
56,3.2,50631.5
57,6.7,87942.8
58,7.5,88246.1
59,1.5,43049.4
60,7.7,100353.7
61,2.9,54796.6
62,1.7,41069.3
63,11.4,135253.8
64,11.6,143646.7
65,9.9,116736.5
66,4.4,66737.9
67,2.1,38377.5
68,8.5,100568.5
69,5.8,80598.8
70,2.3,53157.2
71,6.4,84338.4
72,1.4,36553.6
73,11,126546.3
74,3.8,58207.8
75,8.3,104816.6
76,4.4,58327.7
77,6.7,95522.1
78,7,87407.4
79,3,57550.6
80,11.7,127984.2
81,9.5,118613.1
82,11.3,135716.2
83,10.8,129463.5
84,7.6,90888.7
85,11.1,131522.1
86,2,36881.2
87,3.2,53257
88,1.5,44756
89,4.6,72571.3
90,5.3,74785.9
91,4,57053.6
92,10.1,124055.2
93,4.9,71490.9
94,4.1,50525.9
95,7,95087.7
96,2.6,48811.7
97,9.8,124410.3
98,1.8,35922.9
99,11.9,119120.4
100,9.5,116133.3
101,3.2,56585
102,1.1,25417.9
103,10,113593.2
104,8.8,123183
105,9,108369.1
106,9.5,118558.9
107,1.8,38356.6
108,4.9,59871.5
109,2.3,45390.6
110,10.5,122532.1
111,7.9,96853.6
112,4.6,68053.8
113,1.7,42382.8
114,4.4,65785.2
115,4.6,61032.5
116,9,112859.2
117,8,89671
118,10.8,115057.9
119,6.2,87518.2
120,2.3,49565.2
121,8.8,108118.7
122,9.4,105578
123,7.2,88684
