Student_ID,Hours_Revised,Result,Pass_Binary
1,4.1,Fail (0),0
2,9.5,Pass (1),1
3,7.5,Pass (1),1
4,6.2,Pass (1),1
5,2.0,Fail (0),0
6,2.0,Fail (0),0
7,1.1,Fail (0),0
8,8.7,Pass (1),1
9,6.2,Pass (1),1
10,7.2,Pass (1),1
11,0.7,Fail (0),0
12,9.7,Pass (1),1
13,8.4,Pass (1),1
14,2.5,Fail (0),0
15,2.2,Fail (0),0
16,2.2,Fail (0),0
17,3.4,Fail (0),0
18,5.5,Pass (1),1
19,4.6,Pass (1),1
20,3.3,Fail (0),0
21,6.3,Pass (1),1
22,1.8,Fail (0),0
23,3.3,Fail (0),0
24,4.0,Fail (0),0
25,4.8,Fail (0),0
26,8.0,Pass (1),1
27,2.4,Fail (0),0
28,5.4,Fail (0),0
29,6.1,Pass (1),1
30,0.9,Fail (0),0
31,6.3,Pass (1),1
32,2.1,Fail (0),0
33,1.1,Fail (0),0
34,9.5,Pass (1),1
35,9.7,Pass (1),1
36,8.2,Pass (1),1
37,3.4,Fail (0),0
38,1.4,Fail (0),0
39,7.0,Pass (1),1
40,4.7,Pass (1),1
41,1.7,Fail (0),0
42,5.2,Pass (1),1
43,0.8,Fail (0),0
44,9.1,Pass (1),1
45,3.0,Fail (0),0
46,6.8,Pass (1),1
47,3.5,Fail (0),0
48,5.4,Pass (1),1
49,5.7,Pass (1),1
50,2.3,Fail (0),0
51,9.7,Pass (1),1
52,7.9,Pass (1),1
53,9.4,Pass (1),1
54,9.0,Pass (1),1
55,6.2,Fail (0),0
56,9.3,Pass (1),1
57,1.3,Fail (0),0
58,2.4,Fail (0),0
59,0.9,Fail (0),0
60,3.6,Fail (0),0
61,4.2,Fail (0),0
62,3.1,Fail (0),0
63,8.4,Pass (1),1
64,3.9,Fail (0),0
65,3.2,Fail (0),0
66,5.7,Fail (0),0
67,1.8,Fail (0),0
68,8.1,Pass (1),1
69,1.2,Fail (0),0
70,9.9,Pass (1),1
71,7.8,Pass (1),1
72,2.4,Fail (0),0
73,0.6,Fail (0),0
74,8.2,Pass (1),1
75,7.2,Pass (1),1
76,7.4,Pass (1),1
77,7.8,Pass (1),1
78,1.2,Fail (0),0
79,3.9,Pass (1),1
80,1.6,Fail (0),0
81,8.7,Pass (1),1
82,6.4,Pass (1),1
83,3.6,Pass (1),1
84,1.1,Fail (0),0
85,3.5,Fail (0),0
86,3.6,Fail (0),0
87,7.4,Pass (1),1
88,6.6,Pass (1),1
89,8.9,Pass (1),1
90,5.0,Pass (1),1
91,1.6,Fail (0),0
92,7.3,Pass (1),1
93,7.7,Pass (1),1
94,5.8,Pass (1),1
95,7.8,Pass (1),1
96,5.2,Pass (1),1
97,5.5,Fail (0),0
98,4.6,Pass (1),1
99,0.7,Fail (0),0
100,1.5,Fail (0),0
